Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
96,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,20-130,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3,Matches
97,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22-149,1999,1.9,1,0,0,5,3,0,2,1,3,0,0,0,14,3,2,60.0,Matches
98,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29-319,1992,2.6,1,0,0,2,3,1,6,2,2,0,0,0,31,6,7,46.2,Matches
99,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,eng Premier League,24-291,1997,10.7,0,0,0,9,8,0,16,4,5,1,0,0,42,7,26,21.2,Matches
100,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29-243,1992,1.4,0,0,0,0,3,0,1,1,0,0,0,0,10,3,3,50.0,Matches
101,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32-223,1989,11.8,2,0,0,18,13,2,5,5,4,0,0,0,54,25,23,52.1,Matches
102,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27-185,1994,13.0,2,0,0,20,31,1,25,24,11,0,0,0,145,15,10,60.0,Matches
103,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-056,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
104,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,31-104,1990,6.3,3,0,0,14,15,0,13,5,4,1,0,0,62,2,3,40.0,Matches
105,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,es La Liga,23-207,1998,2.1,0,0,0,4,4,1,3,3,5,0,0,0,14,6,6,50.0,Matches
106,Takuma Asano\13ddc856,jp JPN,FW,Bochum,de Bundesliga,27-018,1994,6.7,1,0,0,5,13,9,9,5,1,0,0,0,34,7,18,28.0,Matches
107,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,24-276,1997,9.9,2,0,0,15,13,2,1,24,27,0,0,0,113,14,18,43.8,Matches
108,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-153,1989,2.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
109,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,25-311,1996,6.0,0,0,0,4,6,1,21,10,4,0,0,0,30,0,1,0.0,Matches
110,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,20-323,2001,5.2,4,0,0,13,10,0,1,11,7,0,0,1,47,18,13,58.1,Matches
111,Fisnik Asllani\35f67a30,xk KVX,FW,Hoffenheim,de Bundesliga,19-112,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
112,Kristjan Asllani\0fdcef0e,al ALB,MFFW,Empoli,it Serie A,19-264,2002,0.8,0,0,0,2,1,0,1,1,0,0,0,0,2,0,2,0.0,Matches
113,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,34-119,1987,13.7,5,0,0,9,31,11,39,10,3,0,1,0,82,14,21,40.0,Matches
114,Lorenz Assignon\b026bbf6,tg TOG,DFMF,Rennes,fr Ligue 1,21-159,2000,1.7,0,0,0,5,3,0,3,3,2,0,0,0,13,2,1,66.7,Matches
115,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,20-307,2001,1.8,0,0,0,2,1,0,1,8,1,0,0,1,18,1,2,33.3,Matches
116,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25-195,1996,7.9,3,0,0,12,15,3,32,22,14,1,1,0,74,17,6,73.9,Matches
