Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
135,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,24,2.04,20,0,2,2,0,0,7,0.60,6,0,0,1,0,0,Matches
136,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,34,2.16,23,0,3,6,1,1,10,0.64,4,0,2,3,1,0,Matches
137,Jean-Kévin Augustin\97bfa797,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,33,2.34,21,0,5,3,4,0,8,0.57,7,0,0,0,1,0,Matches
138,Ludwig Augustinsson\9fec8860,se SWE,DFMF,Werder Bremen,de Bundesliga,23,1994,28.1,56,1.99,38,12,0,5,1,0,2,0.07,0,1,0,1,0,0,Matches
139,Yann Aurel Bisseck\3963c25b,de GER,DFFW,Köln,de Bundesliga,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,32,2.02,26,1,1,3,1,0,4,0.25,1,0,1,1,1,0,Matches
141,Charlie Austin\8d228291,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,20,1.74,11,0,4,4,0,1,2,0.17,1,0,0,1,0,0,Matches
142,Danilo Avelar\eacb45fd,br BRA,DFFW,Amiens,fr Ligue 1,28,1989,19.2,28,1.46,23,3,0,0,2,0,4,0.21,4,0,0,0,0,0,Matches
143,Felipe Avenatti\23f9e9d3,uy URU,FWMF,Bologna,it Serie A,24,1993,5.2,5,0.96,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Durel Avounou\833a91a1,cg CGO,MFDF,Caen,fr Ligue 1,19,1997,7.2,6,0.83,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Chidozie Awaziem\70d8e84c,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,11,0.65,7,0,1,2,1,0,1,0.06,1,0,0,0,0,0,Matches
146,André Ayew\5dbefa9d,gh GHA,FWMF,Swansea City,eng Premier League,27,1989,10.6,21,1.99,16,1,1,1,1,1,4,0.38,2,0,0,1,1,0,Matches
147,André Ayew\5dbefa9d,gh GHA,MFFW,West Ham,eng Premier League,27,1989,9.9,13,1.31,7,0,4,0,2,0,4,0.40,3,0,1,0,0,0,Matches
148,Jordan Ayew\da052c14,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,63,1.99,27,1,10,10,8,7,3,0.09,0,0,1,2,0,0,Matches
149,Karim Azamoum\eaf71a5e,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.3,48,1.92,31,9,0,3,0,5,1,0.04,1,0,0,0,0,0,Matches
